"","id","date","screen_name","text","pre_processed_text","rt","like"
"60031",60031,2020-04-27,"eMKa72288875","Seperti puasa
menahan lapar dan dahaga
dan segala hal yang menimbulkan dosa
dari terbit fajar hingga maghrib tiba
Seperti itu pula rindu
hati terkulai menanti temu
dari terbitnya penghalang jarak dan waktu
hingga covid-19 ini berlalu. 
@PelangiPuisi","seperti puasa menahan lapar dan dahaga dan segala hal yang menimbulkan dosa dari terbit fajar hingga maghrib tiba seperti itu pula rindu hati terkulai menanti temu dari terbitnya penghalang jarak dan waktu hingga covid  ini berlalu",3,6
"44902",44902,2020-04-27,"mistercebong","DI TANGAN GUBERNUR yg bermodalkan agama dan kesantunan sekarang jakarta semakin MEMERAH, korban terus bertambah dan PSBB pun berantakan. Tolong siapa saja yg punya kewenangan lebih di atas gubernur jakarta agar segera ambil alih penanganan corona ini. NYAWA WARGA DIPERTARUHKAN!! https://t.co/4C6EYHcK9L","di tangan gubernur yg bermodalkan agama dan kesantunan sekarang jakarta semakin memerah korban terus bertambah dan psbb pun berantakan tolong siapa saja yg punya kewenangan lebih di atas gubernur jakarta agar segera ambil alih penanganan corona ini nyawa warga dipertaruhkan",39,94
"69182",69182,2020-04-26,"fahmihusnaeni_","@sucirhmy @mfauziny untung corona jadi irit heu tapi teu bisa bukber","untung corona jadi irit heu tapi teu bisa bukber",0,0
"74508",74508,2020-04-26,"KEZIAAM0UR","@null Vinales Beri Dukungan kepada Tenaga Medis yang Perangi Virus Corona Vinales sebu  https://t.co/klBrxaIuKc","vinales beri dukungan kepada tenaga medis yang perangi virus corona vinales sebu",0,0
"52046",52046,2020-04-27,"SKrisdiantoro","Hari ini kami mulai membuka kesempatan bagi teman2 untuk ikut berpartisipasi dlm membantu sesama khususnya untuk para korban covid-19 &amp; masyarakat lainnya yang terdampak

Besar harapan kami anda adalah salah satunya yang tergerak

Sedikit uluran tangan teman2 sangat berharga <U+0001F64F> https://t.co/dWS0brrAc6","hari ini kami mulai membuka kesempatan bagi teman untuk ikut berpartisipasi dlm membantu sesama khususnya untuk para korban covid  amp masyarakat lainnya yang terdampak besar harapan kami anda adalah salah satunya yang tergerak sedikit uluran tangan teman sangat berharga",2,2
"1605",1605,2020-04-27,"egfaridp","@covid19_indo Barusan nyanyi sambil ngelus ngelus rambut gebi","barusan nyanyi sambil ngelus ngelus rambut gebi",0,0
"7566",7566,2020-04-27,"UmlandAndreas","EU DisinfoLab
#conspiracy #europeanunion #europe #coronavirus #european #eu #covid19 #corona #pandemic #coronacrisis #publichealth https://t.co/seETDsWWGm","eu disinfolab",0,1
"66219",66219,2020-04-26,"agungfatma","Ini Corona sebenernya konspirasi para elite jomblo biar yg udh punya pasangan pada physical distancing, financial kacau trus pada ribut dan jomblo...","ini corona sebenernya konspirasi para elite jomblo biar yg udh punya pasangan pada physical distancing financial kacau trus pada ribut dan jomblo",0,0
"99400",99400,2020-04-26,"rivaallllll","@happy_gurlll Kan Corona,gak ada syuting film lagi<U+0001F602>","kan corona gak ada syuting film lagi",0,0
"103492",103492,2020-04-26,"SOURAVB76836253","@boo_t_full @ANI @narendramodi Corona Mubarak inlogo ke liye","corona mubarak inlogo ke liye",0,1
