"","id","date","screen_name","text","pre_processed_text","rt","like"
"48402",48402,2020-04-27,"wasafifm","#GoodMorning • "" Hotel niliyonunua kwasababu sijaanza kui upgrade , Niko radhi niitoe kwa serekali kwa muda huu ili iweze kutumika Kama Karantini au Hospital mpaka pale Corona itakapoisha "" - @diamondplatnumz https://t.co/BOXUb99x2b","• hotel niliyonunua kwasababu sijaanza kui upgrade niko radhi niitoe kwa serekali kwa muda huu ili iweze kutumika kama karantini au hospital mpaka pale corona itakapoisha",131,1540
"74244",74244,2020-04-26,"haluanlpg","Relawan Covid-19 Bukit Kemuning Pastikan Warga Aman https://t.co/l82IbMNBRO https://t.co/PaRkTUXbf4","relawan covid bukit kemuning pastikan warga aman",0,0
"61544",61544,2020-04-26,"Mysdr_","Pandemi virus Corona Covid-19 mengkibatkan banyak pekerja di sektor informal tidak mendapat penghasilan seperti biasa. #CiptakerLindungiBuruh
https://t.co/O16NrSQoUR","pandemi virus corona covid mengkibatkan pekerja sektor informal penghasilan",0,0
"80969",80969,2020-04-26,"urcuteberry","@fvcklyfee lagi menyebarkan virus mpshh

https://t.co/aXdzRT9why","menyebarkan virus mpshh",0,0
"35743",35743,2020-04-27,"Suga_1982","@AY_PJM Ayooo dek qt bareng2 nyebar virus kpop <U+0001F923>","ayooo dek qt bareng nyebar virus kpop",0,0
"17286",17286,2020-04-27,"Erwandskuy","Malam ini kelabu, di temani berita virus dan kamu yang takunjung serius","malam kelabu temani berita virus takunjung serius",0,4
"75974",75974,2020-04-26,"Sgrdamai","@AaLembur @Candraasmara85 Adanya virus hambalang lbh parah lagi<U+0001F601><U+0001F601>","virus hambalang lbh parah",0,0
"18587",18587,2020-04-27,"kumparan","Per Senin (27/2) sudah ada 37 pasien dinyatakan sembuh dari corona. #kumparanNEWS https://t.co/uxurWFDask","senin pasien dinyatakan sembuh corona",4,10
"81461",81461,2020-04-26,"dompetdhuafaorg","Empati Datang Dari Luar Negeri, Untuk Bantu Cekal Corona Di Indonesia, selengkapnya &gt;&gt; https://t.co/EpHOPJvNdI https://t.co/IIrwemSrK4","empati negeri bantu cekal corona indonesia selengkapnya gt gt",0,9
"90707",90707,2020-04-26,"onenewsofficial","Masih mampu tampung gelandangan: tiada tambahan kes baharu di Johor

https://t.co/acmnYRzzny
#OneNews #ONKongsi #Covid19
#StayAtHome #DudukDiRumah
#KomunikasiKita
#KitaTeguhKitaMenang https://t.co/Dj2p7XpoVl","tampung gelandangan tiada tambahan kes baharu johor",3,2
"36233",36233,2020-04-27,"RadioElshinta","Apa saja tindakan preventif untuk menjaga diri dari Covid-19?

Simak info di bawah ini ya!

#IndonesiaLawanCovid19 #DengerinElshintaDiRumahAja https://t.co/to2WvDDdQ9","tindakan preventif menjaga covid simak info ya",4,3
"76637",76637,2020-04-26,"gldnmnkey","@attamamos tapinya si corona yaa?;(","tapinya si corona yaa",0,0
"6416",6416,2020-04-27,"SBuana81","Next
Tipe :honda cbr 150 r repsol
Taun: 2017
Cicilan: 3thn /36 bln
Sisa :7bln agustus habis
Posisi sei agul,medan barat,medan sumatera utara
Di jual karena mau bawak si kecil yang kembar berobat dan biaya sehari2 akibat corona usaha gulung tikar dan tidak ada p3masukan","next tipe honda cbr r repsol taun cicilan thn bln sisa bln agustus habis posisi sei agul medan barat medan sumatera utara jual bawak si kembar berobat biaya sehari akibat corona usaha gulung tikar pmasukan",0,0
"37984",37984,2020-04-27,"detikfinance","Apakah dengan diberlakukannya penurunan tarif pajak tersebut dapat membantu perusahaan bertahan di tengah serangan virus Corona? #DampakCorona 
 https://t.co/OHvlOtYyTZ","diberlakukannya penurunan tarif pajak membantu perusahaan bertahan serangan virus corona",1,2
"76050",76050,2020-04-26,"korbanjanjiiii","@jadiankaga jan nanti km kena corona","jan km kena corona",0,0
"72481",72481,2020-04-26,"kumparan","Berbeda dengan PSBB, saat PKM, masyarakat masih punya ruang berkegiatan namun dengan kontrol yang ketat. #kumparanNews https://t.co/pANz7HYY4m","berbeda psbb pkm masyarakat ruang berkegiatan kontrol ketat",8,11
